line,start,end,money saved,best_path
18,TEJEDA,FARO - ESTACIÓN MASPALOMAS,0.2,TEJEDA -> AYACATA -> ARTEARA -> FARO - ESTACIÓN MASPALOMAS
18,TEJEDA,FATAGA,0.05,TEJEDA -> AYACATA -> FATAGA
18,TEJEDA,MUNDO ABORIGEN,0.1,TEJEDA -> AYACATA -> MUNDO ABORIGEN
18,TEJEDA,SAN FERNANDO - MASPALOMAS,0.05,TEJEDA -> ARTEARA -> SAN FERNANDO - MASPALOMAS
34,CASTILLO ROMERAL,SAN BARTOLOMÉ DE TIRAJANA,0.2,CASTILLO ROMERAL -> AGÜIMES - ESTACIÓN AGÜIMES -> SAN BARTOLOMÉ DE TIRAJANA
34,CASTILLO ROMERAL,TEMISAS,0.05,CASTILLO ROMERAL -> CRUCE ARINAGA -> TEMISAS
34,JUAN GRANDE ,SAN BARTOLOMÉ DE TIRAJANA,0.2,JUAN GRANDE  -> AGÜIMES - ESTACIÓN AGÜIMES -> SAN BARTOLOMÉ DE TIRAJANA
36,CUATRO PUERTAS,PLAYA DEL INGLÉS - MASPALOMAS,0.1,CUATRO PUERTAS -> CRUCE SARDINA -> PLAYA DEL INGLÉS - MASPALOMAS
36,PLAYA DEL INGLÉS - MASPALOMAS,CUATRO PUERTAS,0.1,PLAYA DEL INGLÉS - MASPALOMAS -> CRUCE SARDINA -> CUATRO PUERTAS
70,CRUCE DE MOGÁN,CRUCE LOS PALMITOS,0.4,CRUCE DE MOGÁN -> PUERTO RICO -> CRUCE LOS PALMITOS
70,CRUCE DE MOGÁN,LOS PALMITOS,0.6,CRUCE DE MOGÁN -> PUERTO RICO -> LOS PALMITOS
70,CRUCE LOS PALMITOS,PLAYA DEL CURA,0.1,CRUCE LOS PALMITOS -> PUERTO RICO -> PLAYA DEL CURA
70,CRUCE LOS PALMITOS,PUERTO MOGÁN - ESTACIÓN MOGÁN,0.25,CRUCE LOS PALMITOS -> PATALAVACA -> PUERTO MOGÁN - ESTACIÓN MOGÁN
70,LOS PALMITOS,PUERTO MOGÁN - ESTACIÓN MOGÁN,0.45,LOS PALMITOS -> PUERTO RICO -> PUERTO MOGÁN - ESTACIÓN MOGÁN
70,PLAYA DEL CURA,CRUCE LOS PALMITOS,0.1,PLAYA DEL CURA -> PUERTO RICO -> CRUCE LOS PALMITOS
70,PUERTO MOGÁN - ESTACIÓN MOGÁN,CRUCE LOS PALMITOS,0.25,PUERTO MOGÁN - ESTACIÓN MOGÁN -> PATALAVACA -> CRUCE LOS PALMITOS
70,PUERTO MOGÁN - ESTACIÓN MOGÁN,LOS PALMITOS,0.45,PUERTO MOGÁN - ESTACIÓN MOGÁN -> PUERTO RICO -> LOS PALMITOS
90,AEROPUERTO DE GRAN CANARIA ,PATALAVACA,0.1,AEROPUERTO DE GRAN CANARIA  -> MORRO BESUDO -> PATALAVACA
